Review ID,Review Submission Date Time,Account ID,TPID,Subject,Primary Category,Description,Case Origin,Record Type ID,Contact Name,Owner ID,Case Category,Type,Status,Blocker,Auto Chase Status,Translated Description
63e256dc889b102e37afc2a1,02/07/2023T01:00:00.000GMT,17940,4,"not updated, microwave caught on fire(18 years old and dirty), smoke alarms not working due to no batteries available on site, no first aid on site.",Fire,"not updated, microwave caught on fire(18 years old and dirty), smoke alarms not working due to no batteries available on site, no first aid on site.
----- 
not updated, microwave caught on fire(18 years old and dirty), smoke alarms not working due to no batteries available on site, no first aid on site.  Went 36 hours with no smoke alarm and then one beeping every 30min",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"not updated, microwave caught on fire(18 years old and dirty), smoke alarms not working due to no batteries available on site, no first aid on site.
----- 
not updated, microwave caught on fire(18 years old and dirty), smoke alarms not working due to no batteries available on site, no first aid on site.  Went 36 hours with no smoke alarm and then one beeping every 30min"
63e0df9219d00a0fb0928edc,02/06/2023T01:00:00.000GMT,2202530,-1,Hotel calme sauf alarme incendie la première nuit .ça a duré bcp trop longtemps.,Fire,"Hotel calme sauf alarme incendie la première nuit .ça a duré bcp trop longtemps.
----- 
Hotel calme sauf alarme incendie la première nuit .ça a duré bcp trop longtemps. Chambre RELATIVEMENT propre, brûlures cigarette sur le sol, sanitaires propres mais odeur d égouts très importantes le premier soir, fenetre immonde pleine de dejections de pigeons HORRIBLE. Peu de papier wc disponible. Sinon pour le prix on va dire que ça va. HEUREUSEMENT que la chambre etait calme.",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Quiet hotel except fire alarm the first night. It lasted a lot for too long.
----
Quiet hotel except fire alarm the first night. It lasted a lot for too long.Relatively clean room, cigarette burns on the floor, clean sanitary facilities but very important sewer smell on the first evening, filthy window full of horrible pigeon dejections.Little wc paper available.Otherwise for the price we will say that it's okay.Fortunately, the room was calm."
63e0f1429b665768329a27c4,02/06/2023T01:00:00.000GMT,1157661,-1,"nadie informaba de si era o no una falsa alarma, a las 3h de la madrugada, tengo que decir que la estancia alli fie perfecta por la ubicación, limpieza y amabilidad del personal",Fire,"nadie informaba de si era o no una falsa alarma, a las 3h de la madrugada, tengo que decir que la estancia alli fie perfecta por la ubicación, limpieza y amabilidad del personal
----- 
A pesar de que la primera noche saltó la alarma contra incendios y nadie informaba de si era o no una falsa alarma, a las 3h de la madrugada, tengo que decir que la estancia alli fie perfecta por la ubicación,  limpieza y amabilidad del personal.  Sin duda repetiremos. Muchas gracias",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"No one reported whether or not it was a false alarm, at 3:00 a.m.
----
Although the first night the fire alarm jumped and nobody reported whether or not it was a false alarm, at 3:00 a.m., I have to say that the stay there perfect for the location, cleanliness and kindness of the staff.We will certainly repeat.Thank you so much"
63e1180c1691da7d759415d5,02/06/2023T01:00:00.000GMT,4589652,3,"smoke detector hanging down, tv cable did not reach the plug, bathroom door handle missing, shower head holder missing/damaged, window did not shut, lamp shade turn beds were very old and un comfy.",Fire,"smoke detector hanging down, tv cable did not reach the plug, bathroom door handle missing, shower head holder missing/damaged, window did not shut, lamp shade turn beds were very old and un comfy.
----- 
Terrible place, dirty, dark and dingy even in the day time.
smoke detector hanging down, tv cable didnt reach the plug, bathroom door handle missing, shower head holder missing/damaged, window didnt shut, lamp shade turn beds were very old and un comfy. 
 
wish i had spent the extra £20 and got a travel lodge. 

even for a dirt cheap over night this place it not worth it.",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"smoke detector hanging down, tv cable did not reach the plug, bathroom door handle missing, shower head holder missing/damaged, window did not shut, lamp shade turn beds were very old and un comfy.
----- 
Terrible place, dirty, dark and dingy even in the day time.
smoke detector hanging down, tv cable didnt reach the plug, bathroom door handle missing, shower head holder missing/damaged, window didnt shut, lamp shade turn beds were very old and un comfy. 
 
wish i had spent the extra £20 and got a travel lodge. 

even for a dirt cheap over night this place it not worth it."
63e4ee45de200418ee6309d9,02/09/2023T01:00:00.000GMT,5583,-1,Seul pb ce matin la alarme incendie déclenché erreur à 8h du matin ( reveil difficile ) Personnel accueillant,Fire,"Seul pb ce matin la alarme incendie déclenché erreur à 8h du matin ( reveil difficile ) Personnel accueillant
----- 
Super hôtel ! Seul pb ce matin la alarme incendie déclenché erreur à 8h du matin ( reveil difficile ) 
Personnel accueillant",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Only PB this morning the fire alarm triggered error at 8 am (difficult awake) welcoming staff
----
Great hotel!Only PB this morning the fire alarm triggered error at 8 a.m.
Welcoming staff"
63e147524807715606c403f4,02/06/2023T01:00:00.000GMT,76838492,3,"Fire extingushers were located on the floor, not on the wall and were being used to prop the outside door open while cleaners were outside in the morning having a smoke.",Fire,"Fire extingushers were located on the floor, not on the wall and were being used to prop the outside door open while cleaners were outside in the morning having a smoke.
----- 
The facilities were great but service was poor. I knew when booking that there was nobody on site but the emergency number was not answered quickly enough and the telephone number on the side of the property does not exist. The fire alarm went off at 5.45am so everyone evacuated but it was 40mins until the emergency number was answered and another half hour before the fire alarm engineer came out. There are no fire procedures in the rooms and no evacuation plan. This is particularly worrying with nobody on site. Luckily it was a false alarm and not a real fire. Fire extingushers were located on the floor, not on the wall and were being used to prop the outside door open while cleaners were outside in the morning having a smoke.",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Fire extingushers were located on the floor, not on the wall and were being used to prop the outside door open while cleaners were outside in the morning having a smoke.
----- 
The facilities were great but service was poor. I knew when booking that there was nobody on site but the emergency number was not answered quickly enough and the telephone number on the side of the property does not exist. The fire alarm went off at 5.45am so everyone evacuated but it was 40mins until the emergency number was answered and another half hour before the fire alarm engineer came out. There are no fire procedures in the rooms and no evacuation plan. This is particularly worrying with nobody on site. Luckily it was a false alarm and not a real fire. Fire extingushers were located on the floor, not on the wall and were being used to prop the outside door open while cleaners were outside in the morning having a smoke."
63e4d059de200418ee62b5d5,02/09/2023T01:00:00.000GMT,5384237,-1,Am nächsten Morgen um 6.00 Uhr wurden wir durch den Feueralarm geweckt.,Fire,"Am nächsten Morgen um 6.00 Uhr wurden wir durch den Feueralarm geweckt.
----- 
Wir haben das Zimmer wegen der Lage und des vermeintlich günstigen Preises gebucht ... und dem kostenlosen Parkplatz - so weit, so gut ... ! Der Parkplatz war in einem anderen Hotel, nur 300 m entfernt, aber in einer Einbahnstraße, wir brauchten 30 min, um das Auto nach der Ankunft im Verkehrschaos dorthin zu bringen. Der Empfang war freundlich, man erklärte uns, dass das Frühstück im Hotel serviert wird, wo auch der Parkplatz ist (300m entfernt). Unser Zimmer war dann im Keller mit Blick nach hinten. Ohne die Möglichkeit einen richtigen Sichtschutz zu haben. Die Betten und das Zimmer waren soweit in Ordnung. Das Bad war aber renovierungsbedürftig. Am nächsten Morgen um 6.00 Uhr wurden wir durch den Feueralarm geweckt. Wir zogen uns an, liefen zur Rezeption, niemand da. Im ganzen Hotel kein Personal, aber auch kein Feuer. Die anderen Gäste haben sich dann vor dem Hotel versammelt und gewartet. Um 6.45 Uhr ist dann Jemand gekommen und hat die Anlage abgeschaltet. Keine Entschuldigung vom Hotel. Frühstück gab es dann doch in diesem  Hotel, aber wir mussten bis nach 8.00 Uhr warten, weil noch nicht alles fertig war. Alles etwas chaotisch und nicht wirklich zu angenehm..",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"The next morning at 6:00 a.m. we were woken up by the fire alarm.
------
We booked the room because of the location and the supposedly cheap price ... and the free parking space - so far, so good ...!The parking lot was in another hotel, just 300 m away, but in a one -way street, it took us 30 minutes to get the car there after arriving in traffic chaos.The reception was friendly, we were told that breakfast is served in the hotel, where the parking lot is also (300m away).Our room was then in the basement with a view of it.Without the opportunity to have a real privacy screen.The beds and the room were okay so far.The bathroom was in need of renovation.The next morning at 6:00 a.m. we were woken up by the fire alarm.We got dressed, ran to the reception, nobody there.No staff throughout the hotel, but also no fire.The other guests then gathered and waited in front of the hotel.At 6.45 a.m. someone came and switched off the facility.No excuse from the hotel.Breakfast was in this hotel, but we had to wait until 8 a.m. because not everything was ready.Everything a little chaotic and not really too pleasant .."
63e1312c1691da7d7594a004,02/06/2023T01:00:00.000GMT,11111195,-1,"Boa hospedagem,poderiam melhorarem as televisões,de tubos e ultrapassadas e sem opções de programação,ocorreu uma queda de energia noturna de 12 horas,faltou uma luz de emergência no apartamento,complicado isso.",Fire,"Boa hospedagem,poderiam melhorarem as televisões,de tubos e ultrapassadas e sem opções de programação,ocorreu uma queda de energia noturna de 12 horas,faltou uma luz de emergência no apartamento,complicado isso.
----- 
Boa hospedagem,poderiam melhorarem as televisões,de tubos e ultrapassadas e sem opções de programação,ocorreu uma queda de energia noturna de 12 horas,faltou uma luz de emergência no apartamento,complicado isso.",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Good hosting, could improve televisions, pipes and outdated and without programming options, there was a 12 -hour night power outage, an emergency light in the apartment, complicated that.
------
Good hosting, could improve televisions, pipes and outdated and without programming options, there was a 12 -hour night power outage, an emergency light in the apartment, complicated that."
63e11e871691da7d759430a0,02/06/2023T01:00:00.000GMT,46291442,4,a smoke alarm chirped outside my door every few minutes for 4 days & nights,Fire,"a smoke alarm chirped outside my door every few minutes for 4 days & nights
----- 
The suite was lovely but I waited 25 min for someone to meet me to let me in. They refused to answer the phone when I tried to call to see what was taking so long. The dishwasher was full of water when I arrived, and a smoke alarm chirped outside my door every few minutes for 4 days & nights. I emailed 3 days to ask for help but received none.",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"a smoke alarm chirped outside my door every few minutes for 4 days & nights
----- 
The suite was lovely but I waited 25 min for someone to meet me to let me in. They refused to answer the phone when I tried to call to see what was taking so long. The dishwasher was full of water when I arrived, and a smoke alarm chirped outside my door every few minutes for 4 days & nights. I emailed 3 days to ask for help but received none."
63e0ceec1620f06be3e70c84,02/06/2023T01:00:00.000GMT,69789877,-1,Erg fijn Alleen jammer dat savonds het brandalarm afging Oorverdovend en lang voor er werd gereageerd Niet echt relaxed natuurlijk Voor de rest prima,Fire,"Erg fijn Alleen jammer dat savonds het brandalarm afging Oorverdovend en lang voor er werd gereageerd Niet echt relaxed natuurlijk Voor de rest prima
----- 
Erg fijn
Alleen jammer dat savonds het brandalarm afging
Oorverdovend en lang voor er werd gereageerd 
Niet echt relaxed natuurlijk 
Voor de rest prima",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Very nice just a pity that in the evening the fire alarm went deafening and long before there was a response not really relaxed of course for the rest fine
----
Very nice
Just a pity that the fire alarm went off in the evening
Deafening and long before there was a response
Not really relaxed of course
For the rest fine"
